"Id","info1","info2"
1,"北京  |  2年经验  |  本科  |  招3人  |  11-01发布","职位描述：1、理解产品后台业务，完成系统模型，数据模型和模块设计。2、定义软件接口和文档，在研发团队下完成分工模块的详细设计实现和模块测试。3、维护产品技术架构和规范，遵从研发部现有后台开发规范。4、追求良好的系统稳定性，提升后台性能保证高可用性 。1. 熟悉C语言2. 至少2年以上Python、c编程经验3. 熟练运用Python、c语言及常用模块；4. 熟悉django等常用开发框架5. 熟悉Mysql, oracle数据库中任何一种6. 熟悉Linux操作系统及shell编程；任职要求：1.具备较强的学习能力和优秀的沟通能力；2.2年以上工作经验；3.性格开朗，活泼，积极乐观，有爱心，热爱教育行业。"
2,"北京  |  无工作经验  |  本科  |  招10人  |  11-01发布","
						职位描述:1、负责架构设计和开发，为亿级用户提供优质顺畅的信息服务和极致体验；2、参与设计系统技术方案，核心代码开发和系统调优；3、参与制定代码规范、测试规范，建立起开发质量控制方法；4、协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关；5、参与各专项技术调研，新技术引入等前瞻项目；6、参与机器学习与异构计算系统研发。职位要求:1、本科及以上学历，计算机相关专业；2、热爱计算机科学和互联网技术，精通至少一门编程语言，包括但不仅限于：Java、C、C++、PHP、 Python、Go；3、掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；4、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；5、有强烈的求知欲，优秀的学习和沟通能力。						
																		
						
						
					"
3,"北京-海淀区  |  3-4年经验  |  本科  |  招若干人  |  11-01发布  |  普通话精通 英语良好",""
4,"北京  |  2年经验  |  本科  |  招5人  |  11-01发布  |  良好","
						A. Responsibility1、音频质量筛查，语音特征提取；2、文本规范化以及分词；3、词典检查和发音生成；4、声学模型训练和ASR识别结果分析； 5、真实用户数据处理脚本编写；6、文本数据处理,包括符号,网络标签处理,语料去重,TN模型优化,分词模块优化,oov(未登录词)处理等；7、语言模型训练及测试。B. Qualification 1、熟悉linux系统（必须），会shell脚本语言；2、掌握python或perl （必须）；3、有C++或jave编程基础；4、工作踏实认真，积极主动。C. Others工作地点：北京朝阳区太阳宫大厦联系邮箱:PTA_WX@pactera.com						
																		
						
						
					"
5,"北京-朝阳区  |  2年经验  |  大专  |  招2人  |  11-01发布  |  软件工程 计算机应用","【您的职责】1、独立完成后台服务功能模块的设计与开发；2、配合团队其他成员进行模块开发及整合；3、维护所负责的服务模块，并不断持续优化功能系统；4、确保所负责的服务模块能够达到产品要求的质量标准（响应、错误率、不间断服务指标）。【我们的要求】1、专科以上学历，熟练python编程，熟悉flask或其他web框架，1年及以上python工作经验；2、熟悉restful，oauth，SQLAlchemy等框架或者技术；3、有良好的代码编写习惯，熟悉使用git等代码管理工具；4、有OpenSource项目经验加分；5、独立解决问题的能力 有良好的团队工作意识 能够承担压力；6、前端经验丰富者优先。我们的优势：1.合理优厚的薪金，更有赴新加坡总部工作学习的机会；2.企业的地位，我们是外商独资企业，总部位于花园城市新加坡，轨道交通控制行业的领导者，处于行业领先的地位，产品应用遍3.及亚洲6个国家及地区，如北京、新加坡、广州、台北、高雄、曼谷等地，现负责控制北京整体18条地铁线路的系统运营，当你成为我们的合作伙伴时，你会为自己的选择而自豪；3.优美舒适的办公环境，我们位于北四环的北京市交通轨道指挥中心，在宽松明朗的办公环境，工作、学习并提供免费的休闲零食、水果、咖啡等；4.丰富多彩的员工活动，员工聚餐、节日晚会、旅游活动、优秀员工表彰活动等；5.多元化培训课程，带薪岗前培训，在职个人提升计划及系统的内外部培训；6.开放的个人晋升空间，内部转职（横向发展）、纵向提升；7.完善的福利制度，我们提供养老保险、医疗保险、生育保险、工伤保险、失业保险、补充医疗保险、住房公积金、完整的个人发展计划，节日礼金、带薪年假、带薪病假及法定假期、团队建设、年度体检等；8.专业的技术团队，在这里你可以无缝对接各个模块的同事，学习交流，在个人的职业素养提升上我们尽可能创造更多的条件。"
6,"北京-朝阳区  |  无工作经验  |  招1人  |  11-01发布","岗位职责：1、构建AI系统/平台（包括任务调度系统，任务处理系统，资源配置系统，模型自动训练系统等等） 架构的搭建，研发和维护，满足企业内部大规模业务需求，确保后端服务的稳定性，可靠性和及时性；2、优化AI标记工具，编写前后台系统或工具提升标记团队，AI 项目团队的工作效率；3、与内部团队以及外部业界合作，推进AI技术落地。任职要求：1、计算机科学或相关专业研究生及以上学历， 深刻理解计算机数据结构和算法设计，1年以上Python编程经验，3年及以上开发经验，具备扎实的代码功底和规范的编码习惯，具备工业级代码的编码能力；2、熟练掌握多线程并发、同步互斥等原理，能够熟练应用线程池、多线程锁等进行多线程编程；了解Linux等主流操作系统原理，熟练运用系统层支持应用开发；3、熟悉常用分布式系统的实现原理，具备资源调度、任务管理、应用生命周期管理项目开发经验者尤佳；4、具备主流软件系统架构的理解能力和实施能力，具有大型系统实施经验的优先；5、了解AI系统线上线下运行流程和架构，具有深度学习领域开发经验的优先；6、具有良好的学习能力、业务问题分析和模型抽象能力；具有高效的团队协作能力，富有创造性思维，有较强的融合度。"
7,"北京  |  3-4年经验  |  本科  |  招1人  |  11-01发布","1. 负责平台管理软件的设计和开发工作2. 深度理解公司业务，对公司平台系统进行设计、迭代优化和重构 3. 负责项目文档编写、配合测试人员进行软件测试，保证软件产品质量4. 完成高稳定性，高性能的web服务开发，定位并解决技术问题 5. 对平台进行持续的智能化改造，支持更大的系统容量，持续提升产品各项业务指标1. 计算机科学与技术或相关专业本科及以上学历;2. 扎实的编程基础，5年以上Web开发经验，掌握RESTful API的开发思想，具有良好的代码风格3. 掌握分布式事务处理常见手段, 具有构建分布式任务系统经验（ActiveMQ/RabbitMQ, Redis/Couchbase, etc.） 4. 熟练使用至少一种常用数据库, 如MySQL/PostgreSQL/MongoDB, 了解常见的数据库优化技巧5. 熟悉常用的web容器相关技术, 了解uwsgi、nginx、apache, 了解web服务器性能调优方法6. 熟悉Linux，有DevOps开发、部署、维护经验7. 熟悉除Python以外的Web后端编程语言、有常用Python Web框架(Django/Flask/web.py)开发经验者优先8. 了解大数据，有 MapReduce/Hadoop/Hbase/Zookeeper/Flume 等相关经验者优先 "
8,"北京-朝阳区  |  3-4年经验  |  本科  |  招2人  |  11-01发布","岗位职责：1、参与用户、支付、消息、聊天、Gateway系统的开发与维护2、参与高并发在线服务的研发，架构优化以及系统部署等工作；包括用户，运营，风控，审核等业务线；3、根据公司产品需要不断提高产品用户体验和更好实现业务目标；4、能够独立分析解决系统疑难问题，如交易系统扩展、稳定等技术问题；5、参与产品讨论和技术设计，与团队成员共同协作完成开发；任职要求：1、统招本科及以上学历，计算机及相关专业;2、精通Python语言，3年以上Python相关经验；3、熟悉Django、Tornado等主流开源框架；4、熟悉SQL，熟悉Oracle/MySQL等数据库，并具有一定的SQL优化能力；5、熟悉Linux操作系统, 了解基本的WEB以及数据库安全知识"
9,"北京-丰台区  |  2年经验  |  本科  |  招5人  |  11-01发布  |  英语精通","
						岗位职责：1、	根据项目需求进行后台服务器的开发与维护； 2、数据的收集，整理，分析；任职要求：1、统招本科及以上学历，计算机相关专业，2年以上工作经验；2、熟悉Linux操作系统，熟练使用常用命令，熟悉LAMP和LNMP服务器软件配置；3、精通Python，熟悉Django，Tornado，Flask，了解Caffe、TensorFlow、openCV等深度框架，能独立搭建高可用生产环境；4、熟悉VMware、Openstack、KVM等各种虚拟化及容器技术（Docker）者优先； 5、熟练使用SVN，git等版本管理工具；6、具备数据库设计能力，熟练掌握MySql/MongoDB/Redis者优先；7、具备高并发海量数据处理经验者优先。8、 熟悉HTML、CSS、JavaScript前端技术者优先；9、有爬虫开发经验，熟悉scrapy\pyspider等采集框架优先；						
																		
						
						
					"
10,"北京  |  2年经验  |  大专  |  招1人  |  11-01发布","1、完成网络拓扑架构研发2、完成页面布局、浏览器适配、分辨率适配等功能3、完成相应模块的前端及后端功能研发4、配合完成测试以及bug修复任职资格：1、熟悉HTML5、CSS、JS、AJAX、JSON、Web、bootstrap等框架开发；2、熟悉拓扑功能实现，有过拓扑展示开发经验；3、熟悉不同浏览器之间的差异，熟练调试代码；4、有较强的前端布局设计、规划能力，能准确把握网站的整体风格和色彩的设计；5、熟悉python等开发语言，熟悉运维业务运作流程优先考虑；6、了解常用数据库系统，例如Oracle，MySQL等，熟悉常用的SQL语句。7、具备好的团队能力和良好的沟通能力，良好的理解力和学习能力； "
